experiment_accession,experiment_alias,title,study_accession,design_description,sample_accession,library_strategy,library_layout,instrument_model,run_accession,total_spots,total_bases
SRX24219583,A23165809aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989444,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621530,27845586,8353675800
SRX24219582,A23165805aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989436,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621531,21845963,6553788900
SRX24219581,A23165796aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989440,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621532,22967053,6890115900
SRX24219580,A23165795aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989442,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621533,23576400,7072920000
SRX24219579,A23165804aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989435,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621534,21540508,6462152400
SRX24219578,A23165803aR1A,RNA-Seq of Sorghum bicolor,SRP500850,24Hours seed,SRS20989434,RNA-Seq,PAIRED,Illumina NovaSeq 6000,SRR28621535,22064549,6619364700
SRX24004710,GSM8156863_r1,GSM8156863: NIL-WT-72 Drought Rep 3 [WTD3]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801017,RNA-Seq,PAIRED,NextSeq 2000,SRR28399980,29382886,4389170198
SRX24004709,GSM8156862_r1,GSM8156862: NIL-WT-72 Drought Rep 2 [WTD2]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801016,RNA-Seq,PAIRED,NextSeq 2000,SRR28399981,33727988,5038849357
SRX24004708,GSM8156861_r1,GSM8156861: NIL-WT-72 Drought Rep 1 [WTD1]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801015,RNA-Seq,PAIRED,NextSeq 2000,SRR28399982,32158151,4804340524
SRX24004707,GSM8156860_r1,GSM8156860: NIL-WT-72 Control Rep 3 [WTC3]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801014,RNA-Seq,PAIRED,NextSeq 2000,SRR28399983,26000916,3884451388
SRX24004706,GSM8156859_r1,GSM8156859: NIL-WT-72 Control Rep 2 [WTC2]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801013,RNA-Seq,PAIRED,NextSeq 2000,SRR28399987,20429895,3051663970
SRX24004705,GSM8156858_r1,GSM8156858: NIL-WT-72 Control Rep 1 [WTC1]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801012,RNA-Seq,PAIRED,NextSeq 2000,SRR28399984,29029334,4336257809
SRX24004704,GSM8156857_r1,GSM8156857: NIL-bri1-72 Drought Rep 3 [bri1D3]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801011,RNA-Seq,PAIRED,NextSeq 2000,SRR28399985,35062592,5238564865
SRX24004703,GSM8156856_r1,GSM8156856: NIL-bri1-72 Drought Rep 2 [bri1D2]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801010,RNA-Seq,PAIRED,NextSeq 2000,SRR28399986,33855430,5058399679
SRX24004702,GSM8156855_r1,GSM8156855: NIL-bri1-72 Drought Rep 1 [bri1D1]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801009,RNA-Seq,PAIRED,NextSeq 2000,SRR28399988,27897545,4167620269
SRX24004701,GSM8156854_r1,GSM8156854: NIL-bri1-72 Control Rep 3 [bri1C3]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801008,RNA-Seq,PAIRED,NextSeq 2000,SRR28399989,26808296,4004841705
SRX24004700,GSM8156853_r1,GSM8156853: NIL-bri1-72 Control Rep 2 [bri1C2]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801007,RNA-Seq,PAIRED,NextSeq 2000,SRR28399990,27796023,4152470574
SRX24004699,GSM8156852_r1,GSM8156852: NIL-bri1-72 Control Rep 1 [bri1C1]; Sorghum bicolor; RNA-Seq,SRP496732,,SRS20801006,RNA-Seq,PAIRED,NextSeq 2000,SRR28399991,36455394,5445917452
SRX19871046,CR6-1,RNA-seq of sorghum: root,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226258,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069818,21417202,6425160600
SRX19871045,CL6-3,RNA-seq of sorghum: leaf,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226257,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069819,21830943,6549282900
SRX19871044,CL6-2,RNA-seq of sorghum: leaf,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226256,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069874,21689674,6506902200
SRX19871043,CL6-1,RNA-seq of sorghum: leaf,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226255,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069820,21986712,6596013600
SRX19871027,PR6-3,RNA-seq of sorghum: root under PEG,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226239,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069835,21236789,6371036700
SRX19871026,PR6-2,RNA-seq of sorghum: root under PEG,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226238,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069836,23663790,7099137000
SRX19871025,PR6-1,RNA-seq of sorghum: root under PEG,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226237,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069837,21833187,6549956100
SRX19871024,PL6-3,RNA-seq of sorghum: leaf under PEG,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226236,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069838,19337737,5801321100
SRX19871023,PL6-2,RNA-seq of sorghum: leaf under PEG,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226235,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069839,23937797,7181339100
SRX19871022,PL6-1,RNA-seq of sorghum: leaf under PEG,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226234,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069840,21161108,6348332400
SRX19871021,CR6-3,RNA-seq of sorghum: root,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226233,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069841,24353373,7306011900
SRX19871020,CR6-2,RNA-seq of sorghum: root,SRP430922,"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226232,RNA-Seq,PAIRED,Illumina HiSeq 2000,SRR24069842,21406688,6422006400
SRX14246209,L04,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066409,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095197,31727720,9483988744
SRX14246208,L12,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066408,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095198,23343384,6976869932
SRX14246207,L10,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066407,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095199,30786533,4598025996
SRX14246206,L03,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066406,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095200,28798562,8603266034
SRX14246205,L02,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066405,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095201,24259520,7260787370
SRX14246204,L01,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066404,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095202,27059264,4039708899
SRX14246203,L09,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066403,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095203,31307236,9348774402
SRX14246202,L07,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066402,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095204,29816196,8916266852
SRX14246201,L08,RNA-Seq of sorghum leaf,SRP360883,"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066401,RNA-Seq,PAIRED,Illumina HiSeq 1500,SRR18095205,29683843,8847745050
SRX13465006,3-S2_case,RNA-Seq of Sorghum bicolor: biological replicate 2 in stem under severe-drought-stressed treatment,SRP351850,RNA-Seq in stem under severe-drought-stressed treatment,SRS11362371,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR17287604,8149371,2037342750
SRX13465005,3-S1_case,RNA-Seq of Sorghum bicolor: biological replicate 1 in stem under severe-drought-stressed treatment,SRP351850,RNA-Seq in stem under severe-drought-stressed treatment,SRS11362369,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR17287605,8596834,2149208500
SRX13465004,3-L2_case,RNA-Seq of Sorghum bicolor: biological replicate 2 in leaf under severe-drought-stressed treatment,SRP351850,RNA-Seq in leaf under severe-drought-stressed treatment,SRS11362370,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR17287606,9739258,2434814500
SRX13465003,3-L1_case,RNA-Seq of Sorghum bicolor: biological replicate 1 in leaf under severe-drought-stressed treatment,SRP351850,RNA-Seq in leaf under severe-drought-stressed treatment,SRS11362368,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR17287607,9809202,2452300500
SRX11248339,GSM5406972,GSM5406972: CO2E_4; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294876,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935710,13606814,2721124829
SRX11248338,GSM5406971,GSM5406971: CO2E_3; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294875,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935709,12288856,2453451966
SRX11248337,GSM5406970,GSM5406970: CO2E_2; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294874,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935708,13967548,2793599577
SRX11248336,GSM5406969,GSM5406969: CO2E_1; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294873,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935707,15449068,3091417641
SRX11248335,GSM5406968,GSM5406968: CO2A_4; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294872,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935706,14165576,2833594377
SRX11248334,GSM5406967,GSM5406967: CO2A_3; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294871,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935705,14171292,2835495039
SRX11248333,GSM5406966,GSM5406966: CO2A_2; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294870,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935704,10321987,2059276192
SRX11248332,GSM5406965,GSM5406965: CO2A_1; Sorghum bicolor; RNA-Seq,SRP325969,,SRS9294869,RNA-Seq,PAIRED,Illumina HiSeq 2500,SRR14935703,14423579,2883578643
SRX11238352,GSM5402965,GSM5402965: SS-T3-R22; Sorghum bicolor; RNA-Seq,SRP325794,,SRS9284836,RNA-Seq,PAIRED,Illumina Genome Analyzer,SRR14925438,38905598,7781119600
SRX11238351,GSM5402964,GSM5402964: SS-T3-R11; Sorghum bicolor; RNA-Seq,SRP325794,,SRS9284835,RNA-Seq,PAIRED,Illumina Genome Analyzer,SRR14925437,27672890,5534578000
SRX11238350,GSM5402963,GSM5402963: SS-T2-R21; Sorghum bicolor; RNA-Seq,SRP325794,,SRS9284834,RNA-Seq,PAIRED,Illumina Genome Analyzer,SRR14925436,37755414,7551082800
SRX11238349,GSM5402962,GSM5402962: SS-T2-R11; Sorghum bicolor; RNA-Seq,SRP325794,,SRS9284833,RNA-Seq,PAIRED,Illumina Genome Analyzer,SRR14925435,43286397,8657279400
SRX11238348,GSM5402961,GSM5402961: SS-T1-R21; Sorghum bicolor; RNA-Seq,SRP325794,,SRS9284832,RNA-Seq,PAIRED,Illumina Genome Analyzer,SRR14925434,34238816,6847763200
SRX11238347,GSM5402960,GSM5402960: SS-T1-R11; Sorghum bicolor; RNA-Seq,SRP325794,,SRS9284830,RNA-Seq,PAIRED,Illumina Genome Analyzer,SRR14925433,36580707,7316141400
SRX11189847,GSM5394245,GSM5394245: GR-T3-R21; Sorghum bicolor; RNA-Seq,SRP324901,,SRS9245918,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR14872396,37096571,7419314200
SRX11189846,GSM5394244,GSM5394244: GR-T3-R11; Sorghum bicolor; RNA-Seq,SRP324901,,SRS9245917,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR14872395,35199696,7039939200
SRX11189845,GSM5394243,GSM5394243: GR-T2-R21; Sorghum bicolor; RNA-Seq,SRP324901,,SRS9245916,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR14872394,33641456,6728291200
SRX11189844,GSM5394242,GSM5394242: GR-T2-R11; Sorghum bicolor; RNA-Seq,SRP324901,,SRS9245915,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR14872393,50916486,10183297200
SRX11189843,GSM5394241,GSM5394241: GR-T1-R21; Sorghum bicolor; RNA-Seq,SRP324901,,SRS9245914,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR14872392,36747318,7349463600
SRX11189842,GSM5394240,GSM5394240: GR-T1-R11; Sorghum bicolor; RNA-Seq,SRP324901,,SRS9245913,RNA-Seq,PAIRED,Illumina HiSeq 4000,SRR14872391,16660165,3332033000
SRX9078369,GSM4769351,GSM4769351: Sorghum leaves-drought and heat small RNA library; Sorghum bicolor; ncRNA-Seq,SRP280149,,SRS7325349,ncRNA-Seq,SINGLE,Illumina HiSeq 2000,SRR12594335,138942945,7086090195
SRX9078368,GSM4769350,GSM4769350: Sorghum leaves-heat small RNA library; Sorghum bicolor; ncRNA-Seq,SRP280149,,SRS7325348,ncRNA-Seq,SINGLE,Illumina HiSeq 2000,SRR12594334,139807701,7130192751
