design_description,sample_accession,run_accession,Total Size,Submitter,Center,Contact,Experiment,Study,Organism,Sample,Library Strategy,Library Source,Library Selection,Library Layout,Bioproject,Biosample,Run Accession,Run Spots,Run Bases,Create Date,Update Date
treated seeds,SRS23110255,SRR31231328,1908270339,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611573,SRP543294,Sorghum bicolor,SRS23110255,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415008,,,,2024/11/05,2024/11/05
treated seeds,SRS23110254,SRR31231329,1942450730,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611572,SRP543294,Sorghum bicolor,SRS23110254,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415007,,,,2024/11/05,2024/11/05
,SRS22513781,SRR30502486,1953758317,SRA1960383,??????,GEO Group,SRX25926325,SRP529828,Sorghum bicolor,SRS22513781,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436987,,,,2025/07/15,2024/08/31
,SRS22513780,SRR30502487,1965854416,SRA1960383,??????,GEO Group,SRX25926324,SRP529828,Sorghum bicolor,SRS22513780,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436988,,,,2025/07/15,2024/08/31
,SRS22513779,SRR30502488,1836518924,SRA1960383,??????,GEO Group,SRX25926323,SRP529828,Sorghum bicolor,SRS22513779,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436989,,,,2025/07/15,2024/08/31
,SRS22513778,SRR30502489,1922645510,SRA1960383,??????,GEO Group,SRX25926322,SRP529828,Sorghum bicolor,SRS22513778,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436990,,,,2025/07/15,2024/08/31
,SRS22513777,SRR30502493,1925888476,SRA1960383,??????,GEO Group,SRX25926321,SRP529828,Sorghum bicolor,SRS22513777,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436991,,,,2025/07/15,2024/08/31
,SRS22513775,SRR30502490,1922964895,SRA1960383,??????,GEO Group,SRX25926320,SRP529828,Sorghum bicolor,SRS22513775,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436992,,,,2025/07/15,2024/08/31
,SRS22513776,SRR30502491,1950166705,SRA1960383,??????,GEO Group,SRX25926319,SRP529828,Sorghum bicolor,SRS22513776,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436993,,,,2025/07/15,2024/08/31
,SRS22513774,SRR30502492,1916058380,SRA1960383,??????,GEO Group,SRX25926318,SRP529828,Sorghum bicolor,SRS22513774,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436994,,,,2025/07/15,2024/08/31
,SRS22513773,SRR30502494,2110903904,SRA1960383,??????,GEO Group,SRX25926317,SRP529828,Sorghum bicolor,SRS22513773,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436995,,,,2025/07/15,2024/08/31
,SRS22513772,SRR30502495,2045948028,SRA1960383,??????,GEO Group,SRX25926316,SRP529828,Sorghum bicolor,SRS22513772,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436996,,,,2025/07/15,2024/08/31
,SRS22513771,SRR30502496,2156607406,SRA1960383,??????,GEO Group,SRX25926315,SRP529828,Sorghum bicolor,SRS22513771,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436997,,,,2025/07/15,2024/08/31
,SRS22513770,SRR30502497,2152146018,SRA1960383,??????,GEO Group,SRX25926314,SRP529828,Sorghum bicolor,SRS22513770,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436998,,,,2025/07/15,2024/08/31
,DRS397501,DRR395965,2729550699,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381744,DRP011818,Sorghum bicolor,DRS397501,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516992,,,,2024/07/21,2024/07/21
,DRS397500,DRR395964,2978224115,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381743,DRP011818,Sorghum bicolor,DRS397500,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516991,,,,2024/07/21,2024/07/21
,DRS397499,DRR395963,1736344968,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381742,DRP011818,Sorghum bicolor,DRS397499,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516990,,,,2024/07/21,2024/07/21
,DRS397498,DRR395962,2914610425,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381741,DRP011818,Sorghum bicolor,DRS397498,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516989,,,,2024/07/21,2024/07/21
,DRS397497,DRR395961,3007270868,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381740,DRP011818,Sorghum bicolor,DRS397497,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516988,,,,2024/07/21,2024/07/21
,DRS397496,DRR395960,1957305728,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381739,DRP011818,Sorghum bicolor,DRS397496,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516987,,,,2024/07/21,2024/07/21
Root transcriptome,SRS21752562,SRR29548276,733130840,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055511,SRP516063,Sorghum bicolor,SRS21752562,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42042019,,,,2025/07/01,2024/06/25
Root transcriptome,SRS21752561,SRR29548277,858196256,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055510,SRP516063,Sorghum bicolor,SRS21752561,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42042001,,,,2025/07/01,2024/06/25
Root transcriptome,SRS21752560,SRR29548278,585075463,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055509,SRP516063,Sorghum bicolor,SRS21752560,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42042000,,,,2025/07/01,2024/06/25
Root transcriptome,SRS21752559,SRR29548279,594662664,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055508,SRP516063,Sorghum bicolor,SRS21752559,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42041999,,,,2025/07/01,2024/06/25
Root transcriptome,SRS21752558,SRR29548280,525387833,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055507,SRP516063,Sorghum bicolor,SRS21752558,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42041998,,,,2025/07/01,2024/06/25
Root transcriptome,SRS21752557,SRR29548281,87284558,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055506,SRP516063,Sorghum bicolor,SRS21752557,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42041997,,,,2025/07/01,2024/06/25
24Hours seed,SRS20989445,SRR28621524,2432844952,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219589,SRP500850,Sorghum bicolor,SRS20989445,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923240,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989439,SRR28621525,2311777635,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219588,SRP500850,Sorghum bicolor,SRS20989439,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923239,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989438,SRR28621526,2500962980,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219587,SRP500850,Sorghum bicolor,SRS20989438,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923238,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989441,SRR28621527,2527065276,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219586,SRP500850,Sorghum bicolor,SRS20989441,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923237,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989443,SRR28621528,2010381941,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219585,SRP500850,Sorghum bicolor,SRS20989443,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923248,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989437,SRR28621529,2374915193,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219584,SRP500850,Sorghum bicolor,SRS20989437,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923247,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989444,SRR28621530,2594611804,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219583,SRP500850,Sorghum bicolor,SRS20989444,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923246,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989436,SRR28621531,2072969618,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219582,SRP500850,Sorghum bicolor,SRS20989436,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923245,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989440,SRR28621532,2164305346,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219581,SRP500850,Sorghum bicolor,SRS20989440,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923242,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989442,SRR28621533,2189407213,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219580,SRP500850,Sorghum bicolor,SRS20989442,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923241,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989435,SRR28621534,2072092814,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219579,SRP500850,Sorghum bicolor,SRS20989435,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923244,,,,2024/04/10,2024/04/10
24Hours seed,SRS20989434,SRR28621535,2084652447,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219578,SRP500850,Sorghum bicolor,SRS20989434,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923243,,,,2024/04/10,2024/04/10
,SRS20801017,SRR28399980,1131322075,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004710,SRP496732,Sorghum bicolor,SRS20801017,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557829,,,,2024/08/31,2024/03/20
,SRS20801016,SRR28399981,1295525290,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004709,SRP496732,Sorghum bicolor,SRS20801016,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557830,,,,2024/08/31,2024/03/20
,SRS20801015,SRR28399982,1228581360,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004708,SRP496732,Sorghum bicolor,SRS20801015,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557831,,,,2024/08/31,2024/03/20
,SRS20801014,SRR28399983,871105828,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004707,SRP496732,Sorghum bicolor,SRS20801014,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557832,,,,2024/08/31,2024/03/20
,SRS20801013,SRR28399987,777330870,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004706,SRP496732,Sorghum bicolor,SRS20801013,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557833,,,,2024/08/31,2024/03/20
,SRS20801012,SRR28399984,1122032968,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004705,SRP496732,Sorghum bicolor,SRS20801012,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557834,,,,2024/08/31,2024/03/20
,SRS20801011,SRR28399985,1353953346,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004704,SRP496732,Sorghum bicolor,SRS20801011,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557835,,,,2024/08/31,2024/03/20
,SRS20801010,SRR28399986,1112989730,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004703,SRP496732,Sorghum bicolor,SRS20801010,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557836,,,,2024/08/31,2024/03/20
,SRS20801009,SRR28399988,1070429411,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004702,SRP496732,Sorghum bicolor,SRS20801009,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557837,,,,2024/08/31,2024/03/20
,SRS20801008,SRR28399989,1031342750,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004701,SRP496732,Sorghum bicolor,SRS20801008,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557838,,,,2024/08/31,2024/03/20
,SRS20801007,SRR28399990,1076887476,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004700,SRP496732,Sorghum bicolor,SRS20801007,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557839,,,,2024/08/31,2024/03/20
,SRS20801006,SRR28399991,1399415736,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004699,SRP496732,Sorghum bicolor,SRS20801006,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557840,,,,2024/08/31,2024/03/20
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226258,SRR24069818,2020877274,SRA1615860,China Three Gogres university,Chao He,SRX19871046,SRP430922,Sorghum bicolor,SRS17226258,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073806,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226257,SRR24069819,2032517501,SRA1615860,China Three Gogres university,Chao He,SRX19871045,SRP430922,Sorghum bicolor,SRS17226257,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073805,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226256,SRR24069874,2025919411,SRA1615860,China Three Gogres university,Chao He,SRX19871044,SRP430922,Sorghum bicolor,SRS17226256,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073804,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226255,SRR24069820,2055019587,SRA1615860,China Three Gogres university,Chao He,SRX19871043,SRP430922,Sorghum bicolor,SRS17226255,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073803,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226239,SRR24069835,1994445780,SRA1615860,China Three Gogres university,Chao He,SRX19871027,SRP430922,Sorghum bicolor,SRS17226239,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073814,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226238,SRR24069836,2210995998,SRA1615860,China Three Gogres university,Chao He,SRX19871026,SRP430922,Sorghum bicolor,SRS17226238,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073813,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226237,SRR24069837,2058201039,SRA1615860,China Three Gogres university,Chao He,SRX19871025,SRP430922,Sorghum bicolor,SRS17226237,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073812,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226236,SRR24069838,1808486536,SRA1615860,China Three Gogres university,Chao He,SRX19871024,SRP430922,Sorghum bicolor,SRS17226236,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073811,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226235,SRR24069839,2242151722,SRA1615860,China Three Gogres university,Chao He,SRX19871023,SRP430922,Sorghum bicolor,SRS17226235,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073810,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226234,SRR24069840,1989910537,SRA1615860,China Three Gogres university,Chao He,SRX19871022,SRP430922,Sorghum bicolor,SRS17226234,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073809,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226233,SRR24069841,2294987508,SRA1615860,China Three Gogres university,Chao He,SRX19871021,SRP430922,Sorghum bicolor,SRS17226233,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073808,,,,2023/12/31,2023/04/05
"Samples were harvested and frozen immediately in liquid nitrogen. Total RNA was extracted using TRNzol Universal Reagent (TIANGEN). mRNA was purified by using oligo(dT) and then fragmented by incubating in fragmentation buffer. The fragmented mRNA was primed with random hexamer primers and reverse-transcribed with Reverse Transcriptase. After end repair, adenylation, adaptor ligation, purification,PCR amplification, and quality control, sequencing was performed on an Illumina HiSeq.",SRS17226232,SRR24069842,2009206323,SRA1615860,China Three Gogres university,Chao He,SRX19871020,SRP430922,Sorghum bicolor,SRS17226232,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073807,,,,2023/12/31,2023/04/05
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066409,SRR18095197,2831033402,SRA1375529,Southwest university,Daixiang Xu,SRX14246209,SRP360883,Sorghum bicolor,SRS12066409,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143439,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066408,SRR18095198,2185342935,SRA1375529,Southwest university,Daixiang Xu,SRX14246208,SRP360883,Sorghum bicolor,SRS12066408,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143438,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066407,SRR18095199,1453957007,SRA1375529,Southwest university,Daixiang Xu,SRX14246207,SRP360883,Sorghum bicolor,SRS12066407,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143436,,,,2022/02/23,2022/02/22
"Three days after drought (or control) treatments, fresh sorghum leaves (second leaf from the top) were used to isolate RNA and sequence on Illumina platform.",SRS12066406,SRR18095200,2672352322,SRA1375529,Southwest university,Daixiang Xu,SRX14246206,SRP360883,Sorghum bicolor,SRS12066406,RNA-Seq,TRANSCRIPTOMIC,PCR,PAIRED,PRJNA809121,SAMN26143435,,,,2022/02/23,2022/02/22
